prompt,command,type
I need a summary of the namespaces. Can you provide that?,kubectl get namespaces,get
Can you provide an overview of the namespaces?,kubectl get namespaces,get
Please display details about the existing namespaces.,kubectl get namespaces,get
I'd like to see the namespaces and their attributes. Can you help?,kubectl get namespaces,get
Could you list down the namespaces and their properties?,kubectl get namespaces,get
I want to view information about the namespaces. Could you assist?,kubectl get namespaces,get
Please provide information about the namespaces.,kubectl get namespaces,get
Can you give me an overview of the namespaces?,kubectl get namespaces,get
I want to deploy a deployment with the file name deployment.yaml,kubectl apply -f <name>,apply
Deploy the deployment configuration specified in deployment.yaml.,kubectl apply -f <name>,apply
Let's rollout the deployment described in deployment.yaml.,kubectl apply -f <name>,apply
Can you deploy the app using the deployment.yaml file?,kubectl apply -f <name>,apply
Could you deploy the service defined in service.yaml?,kubectl apply -f <name>,apply
Please set up the service as described in service.yaml.,kubectl apply -f <name>,apply
Let's expose the application with the service from service.yaml.,kubectl apply -f <name>,apply
Can you deploy the service for our application using service.yaml?,kubectl apply -f <name>,apply
Please deploy the configuration for the ingress from ingress.yaml.,kubectl apply -f <name>,apply
Set up the ingress rules defined in ingress.yaml.,kubectl apply -f <name>,apply
Let's configure the ingress with the settings from ingress.yaml.,kubectl apply -f <name>,apply
Deploy the ingress resource as per ingress.yaml.,kubectl apply -f <name>,apply
Can you deploy the secret defined in secret.yaml?,kubectl apply -f <name>,apply
I'd like to securely deploy secrets using the secret.yaml file.,kubectl apply -f <name>,apply
Please set up the secret configuration described in secret.yaml.,kubectl apply -f <name>,apply
Could you deploy the persistent volume described in persistentvolume.yaml?,kubectl apply -f <name>,apply
Let's provision a persistent volume as per persistentvolume.yaml.,kubectl apply -f <name>,apply
Can you deploy the persistent volume configuration from persistentvolume.yaml?,kubectl apply -f <name>,apply
Please deploy the persistent volume described in persistentvolume.yaml.,kubectl apply -f <name>,apply
Could you deploy the persistent volume claim using pvc.yaml?,kubectl apply -f <name>,apply
Let's create a persistent volume claim with the settings from pvc.yaml.,kubectl apply -f <name>,apply
Can you deploy the persistent volume claim configuration using pvc.yaml?,kubectl apply -f <name>,apply
Please deploy the persistent volume claim from pvc.yaml.,kubectl apply -f <name>,apply
Please deploy the configmap specified in configmap.yaml.,kubectl apply -f <name>,apply
Let's set up the configuration map using configmap.yaml.,kubectl apply -f <name>,apply
Can you deploy the configmap for our application using configmap.yaml?,kubectl apply -f <name>,apply
Deploy the configmap resource as per configmap.yaml.,kubectl apply -f <name>,apply
I want to deploy the job described in job.yaml.,kubectl apply -f <name>,apply
Let's execute the job specified in job.yaml.,kubectl apply -f <name>,apply
Can you deploy the job for our application using job.yaml?,kubectl apply -f <name>,apply
Please deploy the job resource from job.yaml.,kubectl apply -f <name>,apply
Can you deploy the cron job configured in cronjob.yaml?,kubectl apply -f <name>,apply
I'd like to schedule the cron job defined in cronjob.yaml.,kubectl apply -f <name>,apply
Please deploy the cron job configuration from cronjob.yaml.,kubectl apply -f <name>,apply
Let's set up the cron job using cronjob.yaml.,kubectl apply -f <name>,apply
Please deploy the statefulset defined in statefulset.yaml.,kubectl apply -f <name>,apply
Let's create a statefulset with the settings from statefulset.yaml.,kubectl apply -f <name>,apply
Can you deploy the statefulset for our application using statefulset.yaml?,kubectl apply -f <name>,apply
Deploy the statefulset resource as per statefulset.yaml.,kubectl apply -f <name>,apply
Could you deploy the daemonset specified in daemonset.yaml?,kubectl apply -f <name>,apply
Let's set up the daemonset with the configurations from daemonset.yaml.,kubectl apply -f <name>,apply
Can you deploy the daemonset for our application using daemonset.yaml?,kubectl apply -f <name>,apply
Please deploy the daemonset resource from daemonset.yaml.,kubectl apply -f <name>,apply
I'd like to deploy the pod defined in pod.yaml.,kubectl apply -f <name>,apply
Can you describe the pod with the name 'frontend-pod' in the namespace called 'frontend-namespace'?,kubectl describe pod <name> -n <name>,describe
I need details about the pod named 'backend-pod' in the namespace 'backend-ns'. Could you describe it?,kubectl describe pod <name> -n <name>,describe
Please provide a description of the pod identified as 'app-pod' in the 'app-namespace'.,kubectl describe pod <name> -n <name>,describe
Could you give me a breakdown of the pod labeled as 'web-server' in the 'web-namespace'?,kubectl describe pod <name> -n <name>,describe
I'd like to know more about the pod with the name 'db-pod' in the 'db-namespace'. Can you describe it?,kubectl describe pod <name> -n <name>,describe
"Describe the pod named 'cache-pod' for me, please, in the namespace 'cache-namespace'.",kubectl describe pod <name> -n <name>,describe
Please provide details about the pod named 'monitoring-pod' in the 'monitoring-ns'.,kubectl describe pod <name> -n <name>,describe
Could you describe the current state of the pod labeled as 'log-pod' in the 'log-namespace'?,kubectl describe pod <name> -n <name>,describe
Can you give me information about the pod identified as 'worker-pod' in the 'worker-namespace'?,kubectl describe pod <name> -n <name>,describe
I want to know more about the pod named 'api-pod' in the 'api-namespace'. Can you provide a description?,kubectl describe pod <name> -n <name>,describe
Can you describe the service with the name 'frontend-service' in the namespace called 'frontend-namespace'?,kubectl describe svc <name> -n <name>,describe
I need details about the service named 'backend-service' in the namespace 'backend-ns'. Could you describe it?,kubectl describe svc <name> -n <name>,describe
Please provide a description of the service identified as 'app-service' in the 'app-namespace'.,kubectl describe svc <name> -n <name>,describe
Could you give me a breakdown of the service labeled as 'web-service' in the 'web-namespace'?,kubectl describe svc <name> -n <name>,describe
I'd like to know more about the service with the name 'db-service' in the 'db-namespace'. Can you describe it?,kubectl describe svc <name> -n <name>,describe
"Describe the service named 'cache-service' for me, please, in the namespace 'cache-namespace'.",kubectl describe svc <name> -n <name>,describe
Please provide details about the service named 'monitoring-service' in the 'monitoring-ns'.,kubectl describe svc <name> -n <name>,describe
Could you describe the current state of the service labeled as 'log-service' in the 'log-namespace'?,kubectl describe svc <name> -n <name>,describe
Can you give me information about the service identified as 'worker-service' in the 'worker-ns' namespace?,kubectl describe svc <name> -n <name>,describe
I want to know more about the service named 'api-service' in the 'api-namespace'. Can you provide a description?,kubectl describe svc <name> -n <name>,describe
Can you describe the deployment with the name '<name>'?,kubectl describe deployment <name> -n <name>,describe
I need details about the deployment named '<name>'. Could you describe it?,kubectl describe deployment <name> -n <name>,describe
Please provide a description of the deployment identified as '<name>'.,kubectl describe deployment <name> -n <name>,describe
Could you give me a breakdown of the deployment labeled as '<name>'?,kubectl describe deployment <name> -n <name>,describe
I'd like to know more about the deployment with the name '<name>'. Can you describe it?,kubectl describe deployment <name> -n <name>,describe
"Describe the deployment named '<name>' for me, please.",kubectl describe deployment <name> -n <name>,describe
Please provide details about the deployment named '<name>'.,kubectl describe deployment <name> -n <name>,describe
Could you describe the current state of the deployment labeled as '<name>'?,kubectl describe deployment <name> -n <name>,describe
Can you give me information about the deployment identified as '<name>'?,kubectl describe deployment <name> -n <name>,describe
I want to know more about the deployment named '<name>'. Can you provide a description?,kubectl describe deployment <name> -n <name>,describe
Can you describe the statefulset named '<name>' in the namespace '<namespace>'?,kubectl describe statefulset <name> -n <namespace>,describe
I need details about the statefulset named '<name>' in the '<namespace>' namespace. Could you describe it?,kubectl describe statefulset <name> -n <namespace>,describe
Please provide a description of the statefulset identified as '<name>' in the '<namespace>' namespace.,kubectl describe statefulset <name> -n <namespace>,describe
Could you give me a breakdown of the statefulset labeled as '<name>' in the '<namespace>' namespace?,kubectl describe statefulset <name> -n <namespace>,describe
I'd like to know more about the statefulset with the name '<name>' in the '<namespace>' namespace. Can you describe it?,kubectl describe statefulset <name> -n <namespace>,describe
"Describe the statefulset named '<name>' for me, please, in the '<namespace>' namespace.",kubectl describe statefulset <name> -n <namespace>,describe
Please provide details about the statefulset named '<name>' in the '<namespace>' namespace.,kubectl describe statefulset <name> -n <namespace>,describe
Could you describe the current state of the statefulset labeled as '<name>' in the '<namespace>' namespace?,kubectl describe statefulset <name> -n <namespace>,describe
Can you give me information about the statefulset identified as '<name>' in the '<namespace>' namespace?,kubectl describe statefulset <name> -n <namespace>,describe
I want to know more about the statefulset named '<name>' in the '<namespace>' namespace. Can you provide a description?,kubectl describe statefulset <name> -n <namespace>,describe
Could you provide a description of the statefulset with the name '<name>' in the '<namespace>' namespace?,kubectl describe statefulset <name> -n <namespace>,describe
Please describe the statefulset labeled as '<name>' in the '<namespace>' namespace.,kubectl describe statefulset <name> -n <namespace>,describe
I'm looking for details on the statefulset identified as '<name>' in the '<namespace>' namespace. Can you describe it?,kubectl describe statefulset <name> -n <namespace>,describe
"Describe the statefulset with the name '<name>' for me, please, in the '<namespace>' namespace.",kubectl describe statefulset <name> -n <namespace>,describe
Could you provide information about the statefulset named '<name>' in the '<namespace>' namespace?,kubectl describe statefulset <name> -n <namespace>,describe
I'm interested in learning more about the statefulset named '<name>' in the '<namespace>' namespace. Can you provide a description?,kubectl describe statefulset <name> -n <namespace>,describe
Please give me a breakdown of the statefulset identified as '<name>' in the '<namespace>' namespace.,kubectl describe statefulset <name> -n <namespace>,describe
Can you describe the statefulset labeled as '<name>' in the '<namespace>' namespace?,kubectl describe statefulset <name> -n <namespace>,describe
I'd like to know more about the statefulset named '<name>' in the '<namespace>' namespace. Can you provide details?,kubectl describe statefulset <name> -n <namespace>,describe
Can you delete the pod named 'frontend-pod' in the namespace 'frontend-namespace'?,kubectl delete pod <name> -n <name>,delete
I want to remove the pod with the name 'backend-pod' in the 'backend-ns' namespace. Could you delete it?,kubectl delete pod <name> -n <name>,delete
Please delete the pod identified as 'app-pod' in the 'app-namespace'.,kubectl delete pod <name> -n <name>,delete
Could you remove the pod labeled as 'web-pod' in the 'web-namespace'?,kubectl delete pod <name> -n <name>,delete
I'd like to delete the pod named 'db-pod' in the 'db-namespace'. Can you do that?,kubectl delete pod <name> -n <name>,delete
"Delete the pod named 'cache-pod' for me, please, in the 'cache-namespace' namespace.",kubectl delete pod <name> -n <name>,delete
Please remove the pod named 'monitoring-pod' in the 'monitoring-ns' namespace.,kubectl delete pod <name> -n <name>,delete
Could you delete the pod identified as 'log-pod' in the 'log-namespace'?,kubectl delete pod <name> -n <name>,delete
Can you remove the pod labeled as 'worker-pod' in the 'worker-ns' namespace?,kubectl delete pod <name> -n <name>,delete
I want to delete the pod named 'api-pod' in the 'api-namespace'. Can you do this for me?,kubectl delete pod <name> -n <name>,delete
Please delete the pod with the name 'job-pod' in the 'job-ns' namespace.,kubectl delete pod <name> -n <name>,delete
I need to remove the pod named 'scheduler-pod' in the 'scheduler-ns' namespace. Could you delete it?,kubectl delete pod <name> -n <name>,delete
Please delete the pod identified as 'frontend-pod' in the 'frontend-ns' namespace.,kubectl delete pod <name> -n <name>,delete
Could you delete the pod labeled as 'backend-pod' in the 'backend-ns' namespace?,kubectl delete pod <name> -n <name>,delete
Can you remove the pod named 'db-pod' in the 'db-ns' namespace?,kubectl delete pod <name> -n <name>,delete
I want to delete the pod named 'cache-pod' in the 'cache-ns' namespace. Can you do this for me?,kubectl delete pod <name> -n <name>,delete
Please delete the pod with the name 'monitoring-pod' in the 'monitoring-namespace'.,kubectl delete pod <name> -n <name>,delete
Could you remove the pod labeled as 'log-pod' in the 'log-ns' namespace?,kubectl delete pod <name> -n <name>,delete
Can you delete the pod identified as 'worker-pod' in the 'worker-namespace'?,kubectl delete pod <name> -n <name>,delete
I need to remove the pod named 'api-pod' in the 'api-ns' namespace. Could you delete it?,kubectl delete pod <name> -n <name>,delete
Can you delete the service named 'frontend-service' in the 'frontend-namespace' namespace?,kubectl delete service <name> -n <name>,delete
I want to remove the service with the name 'backend-service' in the 'backend-ns' namespace. Could you delete it?,kubectl delete service <name> -n <name>,delete
Please delete the service identified as 'app-service' in the 'app-namespace' namespace.,kubectl delete service <name> -n <name>,delete
Could you remove the service labeled as 'web-service' in the 'web-namespace' namespace?,kubectl delete service <name> -n <name>,delete
I'd like to delete the service named 'db-service' in the 'db-namespace' namespace. Can you do that?,kubectl delete service <name> -n <name>,delete
"Delete the service named 'cache-service' for me, please, in the 'cache-namespace' namespace.",kubectl delete service <name> -n <name>,delete
Please remove the service named 'monitoring-service' in the 'monitoring-ns' namespace.,kubectl delete service <name> -n <name>,delete
Could you delete the service identified as 'log-service' in the 'log-namespace' namespace?,kubectl delete service <name> -n <name>,delete
Can you remove the service labeled as 'worker-service' in the 'worker-ns' namespace?,kubectl delete service <name> -n <name>,delete
I want to delete the service named 'api-service' in the 'api-namespace' namespace. Can you do this for me?,kubectl delete service <name> -n <name>,delete
Please delete the service with the name 'job-service' in the 'job-ns' namespace.,kubectl delete service <name> -n <name>,delete
I need to remove the service named 'scheduler-service' in the 'scheduler-ns' namespace. Could you delete it?,kubectl delete service <name> -n <name>,delete
Please delete the service identified as 'frontend-service' in the 'frontend-ns' namespace.,kubectl delete service <name> -n <name>,delete
Could you delete the service labeled as 'backend-service' in the 'backend-ns' namespace?,kubectl delete service <name> -n <name>,delete
Can you remove the service named 'db-service' in the 'db-ns' namespace?,kubectl delete service <name> -n <name>,delete
I want to delete the service named 'cache-service' in the 'cache-ns' namespace. Can you do this for me?,kubectl delete service <name> -n <name>,delete
Please delete the service with the name 'monitoring-service' in the 'monitoring-namespace' namespace.,kubectl delete service <name> -n <name>,delete
Could you remove the service labeled as 'log-service' in the 'log-ns' namespace?,kubectl delete service <name> -n <name>,delete
Can you delete the service identified as 'worker-service' in the 'worker-namespace' namespace?,kubectl delete service <name> -n <name>,delete
I need to remove the service named 'api-service' in the 'api-ns' namespace. Could you delete it?,kubectl delete service <name> -n <name>,delete
i want to delete the deployment with the name 'deployment_name' in the namespace called 'namespace1'?,kubectl delete deployment <name> -n <name>,delete
Could you please delete the deployment named 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
Please delete the deployment with the name 'deployment_name' in the 'namespace1' namespace.,kubectl delete deployment <name> -n <name>,delete
Can you delete the deployment identified as 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
I need to delete the deployment named 'deployment_name' in the 'namespace1' namespace. Could you do that?,kubectl delete deployment <name> -n <name>,delete
Please remove the deployment with the name 'deployment_name' in the 'namespace1' namespace.,kubectl delete deployment <name> -n <name>,delete
Could you delete the deployment labeled as 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
Can you remove the deployment named 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
I want to delete the deployment with the name 'deployment_name' in the 'namespace1' namespace. Can you do it?,kubectl delete deployment <name> -n <name>,delete
Please delete the deployment identified as 'deployment_name' in the 'namespace1' namespace.,kubectl delete deployment <name> -n <name>,delete
Could you remove the deployment labeled as 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
Can you delete the deployment named 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
I need to delete the deployment identified as 'deployment_name' in the 'namespace1' namespace. Could you do that?,kubectl delete deployment <name> -n <name>,delete
Please remove the deployment with the name 'deployment_name' in the 'namespace1' namespace.,kubectl delete deployment <name> -n <name>,delete
Could you delete the deployment labeled as 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
Can you remove the deployment named 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
I want to delete the deployment with the name 'deployment_name' in the 'namespace1' namespace. Can you do it?,kubectl delete deployment <name> -n <name>,delete
Please delete the deployment identified as 'deployment_name' in the 'namespace1' namespace.,kubectl delete deployment <name> -n <name>,delete
Could you remove the deployment labeled as 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
Can you delete the deployment named 'deployment_name' in the 'namespace1' namespace?,kubectl delete deployment <name> -n <name>,delete
can you delete the statefulset with the name 'statefulset_name' in the namespace called 'namespace1'?,kubectl delete statefulset <name> -n <name>,delete
Could you please delete the statefulset named 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
Please delete the statefulset with the name 'statefulset_name' in the 'namespace1' namespace.,kubectl delete statefulset <name> -n <name>,delete
Can you delete the statefulset identified as 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
I need to delete the statefulset named 'statefulset_name' in the 'namespace1' namespace. Could you do that?,kubectl delete statefulset <name> -n <name>,delete
Please remove the statefulset with the name 'statefulset_name' in the 'namespace1' namespace.,kubectl delete statefulset <name> -n <name>,delete
Could you delete the statefulset labeled as 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
Can you remove the statefulset named 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
I want to delete the statefulset with the name 'statefulset_name' in the 'namespace1' namespace. Can you do it?,kubectl delete statefulset <name> -n <name>,delete
Please delete the statefulset identified as 'statefulset_name' in the 'namespace1' namespace.,kubectl delete statefulset <name> -n <name>,delete
Could you remove the statefulset labeled as 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
Can you delete the statefulset named 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
I need to delete the statefulset identified as 'statefulset_name' in the 'namespace1' namespace. Could you do that?,kubectl delete statefulset <name> -n <name>,delete
Please remove the statefulset with the name 'statefulset_name' in the 'namespace1' namespace.,kubectl delete statefulset <name> -n <name>,delete
Could you delete the statefulset labeled as 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
Can you remove the statefulset named 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
I want to delete the statefulset with the name 'statefulset_name' in the 'namespace1' namespace. Can you do it?,kubectl delete statefulset <name> -n <name>,delete
Please delete the statefulset identified as 'statefulset_name' in the 'namespace1' namespace.,kubectl delete statefulset <name> -n <name>,delete
Could you remove the statefulset labeled as 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
Can you delete the statefulset named 'statefulset_name' in the 'namespace1' namespace?,kubectl delete statefulset <name> -n <name>,delete
Could you please remove the secret named 'secret_name'?,kubectl delete secret secret_name,delete
I need to get rid of the secret identified as 'secret_name'. Can you delete it?,kubectl delete secret secret_name,delete
Please proceed to delete the secret labeled as 'secret_name'.,kubectl delete secret secret_name,delete
Is it possible to remove the secret named 'secret_name'?,kubectl delete secret secret_name,delete
I want to get rid of the secret with the name 'secret_name'. Can you do that?,kubectl delete secret secret_name,delete
Delete the secret named 'secret_name' as per our requirement.,kubectl delete secret secret_name,delete
Please delete the secret 'secret_name' to clean up the resources.,kubectl delete secret secret_name,delete
Could you please remove the secret named 'secret_name'?,kubectl delete secret secret_name,delete
I'd like to remove the secret labeled 'secret_name'. Can you do that for me?,kubectl delete secret secret_name,delete
Can you delete the secret 'secret_name'? It's no longer needed.,kubectl delete secret secret_name,delete
i want to get and view the pods in the namespace called namespace1?,kubectl get pods -n <name>,get
Could you please show me the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
Please display the pods in the 'namespace1' namespace.,kubectl get pods -n <name>,get
Can you list the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
I need to see the pods in the 'namespace1' namespace. Could you do that?,kubectl get pods -n <name>,get
Please list all the pods in the 'namespace1' namespace.,kubectl get pods -n <name>,get
Could you display the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
Can you show me the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
I want to view the pods in the 'namespace1' namespace. Can you do it?,kubectl get pods -n <name>,get
Please list the pods in the 'namespace1' namespace.,kubectl get pods -n <name>,get
Could you show me the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
Can you list all the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
I need to see the pods in the 'namespace1' namespace. Could you do that?,kubectl get pods -n <name>,get
Please display the pods in the 'namespace1' namespace.,kubectl get pods -n <name>,get
Could you list the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
Can you show me the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
I want to view the pods in the 'namespace1' namespace. Can you do it?,kubectl get pods -n <name>,get
Please list all the pods in the 'namespace1' namespace.,kubectl get pods -n <name>,get
Could you display the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
Can you show me the pods in the 'namespace1' namespace?,kubectl get pods -n <name>,get
can i get the services available in the namespace called namespace1?,kubectl get services -n <name>,get
Could you please list the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
Please display the services in the 'namespace1' namespace.,kubectl get services -n <name>,get
Can you show me the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
I need to see the services in the 'namespace1' namespace. Could you do that?,kubectl get services -n <name>,get
Please list all the services in the 'namespace1' namespace.,kubectl get services -n <name>,get
Could you display the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
Can you list the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
I want to view the services in the 'namespace1' namespace. Can you do it?,kubectl get services -n <name>,get
Please show me the services in the 'namespace1' namespace.,kubectl get services -n <name>,get
Could you list all the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
Can you display the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
I need to see the services in the 'namespace1' namespace. Could you do that?,kubectl get services -n <name>,get
Please list all the services in the 'namespace1' namespace.,kubectl get services -n <name>,get
Could you show me the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
Can you list the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
I want to view the services in the 'namespace1' namespace. Can you do it?,kubectl get services -n <name>,get
Please display the services in the 'namespace1' namespace.,kubectl get services -n <name>,get
Could you please list the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
Can you show me the services in the 'namespace1' namespace?,kubectl get services -n <name>,get
can i get the deployments available in the namespace called namespace1?,kubectl get deployments -n <name>,get
Could you please list the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
Please display the deployments in the 'namespace1' namespace.,kubectl get deployments -n <name>,get
Can you show me the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
I need to see the deployments in the 'namespace1' namespace. Could you do that?,kubectl get deployments -n <name>,get
Please list all the deployments in the 'namespace1' namespace.,kubectl get deployments -n <name>,get
Could you display the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
Can you list the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
I want to view the deployments in the 'namespace1' namespace. Can you do it?,kubectl get deployments -n <name>,get
Please show me the deployments in the 'namespace1' namespace.,kubectl get deployments -n <name>,get
Could you list all the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
Can you display the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
I need to see the deployments in the 'namespace1' namespace. Could you do that?,kubectl get deployments -n <name>,get
Please list all the deployments in the 'namespace1' namespace.,kubectl get deployments -n <name>,get
Could you show me the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
Can you list the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
I want to view the deployments in the 'namespace1' namespace. Can you do it?,kubectl get deployments -n <name>,get
Please display the deployments in the 'namespace1' namespace.,kubectl get deployments -n <name>,get
Could you please list the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
Can you show me the deployments in the 'namespace1' namespace?,kubectl get deployments -n <name>,get
can i get the statefulsets available in the namespace called namespace1?,kubectl get statefulsets -n <name>,get
Could you please list the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
Please display the statefulsets in the 'namespace1' namespace.,kubectl get statefulsets -n <name>,get
Can you show me the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
I need to see the statefulsets in the 'namespace1' namespace. Could you do that?,kubectl get statefulsets -n <name>,get
Please list all the statefulsets in the 'namespace1' namespace.,kubectl get statefulsets -n <name>,get
Could you display the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
Can you list the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
I want to view the statefulsets in the 'namespace1' namespace. Can you do it?,kubectl get statefulsets -n <name>,get
Please show me the statefulsets in the 'namespace1' namespace.,kubectl get statefulsets -n <name>,get
Could you list all the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
Can you display the statefulsets in the 'namespace1' namespace?,kubectl get statefulsets -n <name>,get
